journal_title,issn_print,issn_online,source,area,rank,active_status,source_type,best_rank,area_group,major_group
Human Resource Development Quarterly,1044-8004,1532-1096,ABDC,Human resources and industrial relations,A,,,,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Development Quarterly,1044-8004,1532-1096,AJG,Human Resource Management,2,,,,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Development Quarterly,1044-8004,1532-1096,AJG,Industrial Relations,2,,,,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Development Quarterly,1044-8004,1532-1096,AJG,Organization Behavior/Studies,2,,,,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Development Quarterly,1044-8004,1532-1096,Scimago,Arts and Humanities (miscellaneous),Q1,,,Q1,Arts and Humanities,Social Sciences & Humanities
Human Resource Development Quarterly,1044-8004,1532-1096,Scimago,Organizational Behavior and Human Resource Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Development Quarterly,1044-8004,1532-1096,Scopus,Arts and Humanities,,Active,Journal,,Arts and Humanities,Social Sciences & Humanities
Human Resource Development Quarterly,1044-8004,1532-1096,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Development Review,1534-4843,1552-6712,ABDC,Human resources and industrial relations,B ,,,,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Development Review,1534-4843,1552-6712,Scimago,Organizational Behavior and Human Resource Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Development Review,1534-4843,1552-6712,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Management (US),0090-4848,1099-050X,ABDC,Human resources and industrial relations,A* ,,,,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Management (US),0090-4848,1099-050X,AJG,Human Resource Management,4,,,,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Management (US),0090-4848,1099-050X,AJG,Industrial Relations,4,,,,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Management (US),0090-4848,1099-050X,AJG,Organization Behavior/Studies,4,,,,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Management (US),0090-4848,1099-050X,Scimago,Applied Psychology,Q1,,,Q1,Psychology,Social Sciences & Humanities
Human Resource Management (US),0090-4848,1099-050X,Scimago,Management of Technology and Innovation,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Management (US),0090-4848,1099-050X,Scimago,Organizational Behavior and Human Resource Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Management (US),0090-4848,1099-050X,Scimago,Strategy and Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Management (US),0090-4848,1099-050X,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Management (US),0090-4848,1099-050X,Scopus,Psychology,,Active,Journal,,Psychology,Social Sciences & Humanities
Human Resource Management International Digest,0967-0734,1758-7166,ABDC,Human resources and industrial relations,C ,,,,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Management International Digest,0967-0734,1758-7166,Scimago,Organizational Behavior and Human Resource Management,Q4,,,Q4,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Management International Digest,0967-0734,1758-7166,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Management Journal (UK),0954-5395,1748-8583,ABDC,Human resources and industrial relations,A*,,,,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Management Journal (UK),0954-5395,1748-8583,AJG,Human Resource Management,4*,,,,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Management Journal (UK),0954-5395,1748-8583,AJG,Industrial Relations,4*,,,,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Management Journal (UK),0954-5395,1748-8583,AJG,Organization Behavior/Studies,4*,,,,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Management Journal (UK),0954-5395,1748-8583,Scimago,Organizational Behavior and Human Resource Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Management Journal (UK),0954-5395,1748-8583,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Management Review,1053-4822,1873-7889,ABDC,Human resources and industrial relations,A,,,,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Management Review,1053-4822,1873-7889,AJG,Human Resource Management,3,,,,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Management Review,1053-4822,1873-7889,AJG,Industrial Relations,3,,,,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Management Review,1053-4822,1873-7889,AJG,Organization Behavior/Studies,3,,,,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Management Review,1053-4822,1873-7889,Scimago,Applied Psychology,Q1,,,Q1,Psychology,Social Sciences & Humanities
Human Resource Management Review,1053-4822,1873-7889,Scimago,Organizational Behavior and Human Resource Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Management Review,1053-4822,1873-7889,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Human Resource Management Review,1053-4822,1873-7889,Scopus,Psychology,,Active,Journal,,Psychology,Social Sciences & Humanities
Human Systems Management,0167-2533,1875-8703,ABDC,Human resources and industrial relations,C ,,,,"Business, Management and Accounting","Business, Economics & Management"
Human Systems Management,0167-2533,1875-8703,Scimago,"Business, Management and Accounting (miscellaneous)",Q3,,,Q3,"Business, Management and Accounting","Business, Economics & Management"
Human Systems Management,0167-2533,1875-8703,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Human-Computer Interaction,0737-0024,1532-7051,ABDC,Information systems,A ,,,,Computer Science,"Tech, Data & Quantitative Methods"
Human-Computer Interaction,0737-0024,1532-7051,AJG,Knowledge Management,1,,,,General,"Applied Sciences, Sustainability & Interdisciplinary"
Human-Computer Interaction,0737-0024,1532-7051,AJG,Management Information Systems,1,,,,"Business, Management and Accounting","Business, Economics & Management"
Human-Computer Interaction,0737-0024,1532-7051,Scimago,Applied Psychology,Q2,,,Q2,Psychology,Social Sciences & Humanities
Human-Computer Interaction,0737-0024,1532-7051,Scimago,Human-Computer Interaction,Q2,,,Q2,Computer Science,"Tech, Data & Quantitative Methods"
Human-Computer Interaction,0737-0024,1532-7051,Scopus,Computer Science,,Active,Journal,,Computer Science,"Tech, Data & Quantitative Methods"
Human-Computer Interaction,0737-0024,1532-7051,Scopus,Psychology,,Active,Journal,,Psychology,Social Sciences & Humanities
IATSS Research,0386-1112,2210-4240,ABDC,"Transportation, logistics and supply chains",C ,,,,Social Sciences,Social Sciences & Humanities
IATSS Research,0386-1112,2210-4240,Scimago,Engineering (miscellaneous),Q1,,,Q1,Engineering,"Tech, Data & Quantitative Methods"
IATSS Research,0386-1112,2210-4240,Scimago,Safety Research,Q1,,,Q1,Social Sciences,Social Sciences & Humanities
IATSS Research,0386-1112,2210-4240,Scimago,Transportation,Q2,,,Q1,Social Sciences,Social Sciences & Humanities
IATSS Research,0386-1112,2210-4240,Scimago,Urban Studies,Q1,,,Q1,Social Sciences,Social Sciences & Humanities
IATSS Research,0386-1112,2210-4240,Scopus,Engineering,,Active,Journal,,Engineering,"Tech, Data & Quantitative Methods"
IATSS Research,0386-1112,2210-4240,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
ICSID Review: foreign investment law journal,2049-1999,0258-3690,ABDC,Commercial law,C ,,,,Social Sciences,Social Sciences & Humanities
ICSID Review: foreign investment law journal,2049-1999,0258-3690,Scimago,Finance,Q2,,,Q1,"Economics, Econometrics and Finance","Business, Economics & Management"
ICSID Review: foreign investment law journal,2049-1999,0258-3690,Scimago,Law,Q1,,,Q1,Social Sciences,Social Sciences & Humanities
ICSID Review: foreign investment law journal,2049-1999,0258-3690,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
ICSID Review: foreign investment law journal,2049-1999,0258-3690,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
IEEE Transactions on Engineering Management,1558-0040,0018-9391,ABDC,Business systems in context,A,,,,General,"Applied Sciences, Sustainability & Interdisciplinary"
IEEE Transactions on Engineering Management,1558-0040,0018-9391,AJG,Management Science,3,,,,Decision Sciences,"Business, Economics & Management"
IEEE Transactions on Engineering Management,1558-0040,0018-9391,AJG,Operations Research,3,,,,Decision Sciences,"Business, Economics & Management"
IEEE Transactions on Engineering Management,1558-0040,0018-9391,AJG,Production & Operations Management,3,,,,Decision Sciences,"Business, Economics & Management"
IEEE Transactions on Engineering Management,1558-0040,0018-9391,Scimago,Electrical and Electronic Engineering,Q1,,,Q1,Engineering,"Tech, Data & Quantitative Methods"
IEEE Transactions on Engineering Management,1558-0040,0018-9391,Scimago,Strategy and Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
IEEE Transactions on Engineering Management,1558-0040,0018-9391,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
IEEE Transactions on Engineering Management,1558-0040,0018-9391,Scopus,Engineering,,Active,Journal,,Engineering,"Tech, Data & Quantitative Methods"
IEEE Transactions on Intelligent Transportation Systems,1524-9050,1558-0016,ABDC,"Transportation, logistics and supply chains",A ,,,,Social Sciences,Social Sciences & Humanities
IEEE Transactions on Intelligent Transportation Systems,1524-9050,1558-0016,AJG,Management Science,,,,,Decision Sciences,"Business, Economics & Management"
IEEE Transactions on Intelligent Transportation Systems,1524-9050,1558-0016,AJG,Operations Research,,,,,Decision Sciences,"Business, Economics & Management"
IEEE Transactions on Intelligent Transportation Systems,1524-9050,1558-0016,AJG,Production & Operations Management,,,,,Decision Sciences,"Business, Economics & Management"
IEEE Transactions on Intelligent Transportation Systems,1524-9050,1558-0016,Scimago,Automotive Engineering,Q1,,,Q1,Engineering,"Tech, Data & Quantitative Methods"
IEEE Transactions on Intelligent Transportation Systems,1524-9050,1558-0016,Scimago,Computer Science Applications,Q1,,,Q1,Computer Science,"Tech, Data & Quantitative Methods"
IEEE Transactions on Intelligent Transportation Systems,1524-9050,1558-0016,Scimago,Mechanical Engineering,Q1,,,Q1,Engineering,"Tech, Data & Quantitative Methods"
IEEE Transactions on Intelligent Transportation Systems,1524-9050,1558-0016,Scopus,Computer Science,,Active,Journal,,Computer Science,"Tech, Data & Quantitative Methods"
IEEE Transactions on Intelligent Transportation Systems,1524-9050,1558-0016,Scopus,Engineering,,Active,Journal,,Engineering,"Tech, Data & Quantitative Methods"
IEEE Transactions on Professional Communication,0361-1434,1558-1500,ABDC,Information systems,B ,,,,Computer Science,"Tech, Data & Quantitative Methods"
IEEE Transactions on Professional Communication,0361-1434,1558-1500,Scimago,Electrical and Electronic Engineering,Q2,,,Q1,Engineering,"Tech, Data & Quantitative Methods"
IEEE Transactions on Professional Communication,0361-1434,1558-1500,Scimago,Industrial Relations,Q2,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
IEEE Transactions on Professional Communication,0361-1434,1558-1500,Scimago,Linguistics and Language,Q1,,,Q1,Social Sciences,Social Sciences & Humanities
IEEE Transactions on Professional Communication,0361-1434,1558-1500,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
IEEE Transactions on Professional Communication,0361-1434,1558-1500,Scopus,Engineering,,Active,Journal,,Engineering,"Tech, Data & Quantitative Methods"
IEEE Transactions on Professional Communication,0361-1434,1558-1500,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
IIC International Review of Intellectual Property and Competition Law,0018-9855,2195-0237,ABDC,Commercial law,A ,,,,Social Sciences,Social Sciences & Humanities
IIC International Review of Intellectual Property and Competition Law,0018-9855,2195-0237,Scimago,Law,Q1,,,Q1,Social Sciences,Social Sciences & Humanities
IIC International Review of Intellectual Property and Competition Law,0018-9855,2195-0237,Scimago,Political Science and International Relations,Q1,,,Q1,Social Sciences,Social Sciences & Humanities
IIC International Review of Intellectual Property and Competition Law,0018-9855,2195-0237,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
IIM Kozhikode Society and Management Review,2321-029X,2277-9752,ABDC,"Strategy, management and organisational behaviour",C,,,,"Business, Management and Accounting","Business, Economics & Management"
IIM Kozhikode Society and Management Review,2321-029X,2277-9752,Scimago,Education,Q2,,,Q2,Social Sciences,Social Sciences & Humanities
IIM Kozhikode Society and Management Review,2321-029X,2277-9752,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
IIMB Management Review,0970-3896,2212-4446,ABDC,"Strategy, management and organisational behaviour",C,,,,"Business, Management and Accounting","Business, Economics & Management"
IIMB Management Review,0970-3896,2212-4446,Scimago,"Business, Management and Accounting (miscellaneous)",Q2,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
IIMB Management Review,0970-3896,2212-4446,Scimago,Economics and Econometrics,Q3,,,Q2,"Economics, Econometrics and Finance","Business, Economics & Management"
IIMB Management Review,0970-3896,2212-4446,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
IIMB Management Review,0970-3896,2212-4446,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
IISE Transactions,2472-5854,2472-5862,ABDC,Business systems in context,A ,,,,General,"Applied Sciences, Sustainability & Interdisciplinary"
IISE Transactions,2472-5854,2472-5862,AJG,Operations Research & Management Science,3,,,,Decision Sciences,"Business, Economics & Management"
IISE Transactions,2472-5854,2472-5862,Scimago,Industrial and Manufacturing Engineering,Q1,,,Q1,Engineering,"Tech, Data & Quantitative Methods"
ILR Review (Industrial and Labor Relations Review),0019-7939,2162-271X,ABDC,Human resources and industrial relations,A* ,,,,"Business, Management and Accounting","Business, Economics & Management"
ILR Review (Industrial and Labor Relations Review),0019-7939,2162-271X,AJG,Human Resource Management,3,,,,"Business, Management and Accounting","Business, Economics & Management"
ILR Review (Industrial and Labor Relations Review),0019-7939,2162-271X,AJG,Industrial Relations,3,,,,"Business, Management and Accounting","Business, Economics & Management"
ILR Review (Industrial and Labor Relations Review),0019-7939,2162-271X,AJG,Organization Behavior/Studies,3,,,,"Business, Management and Accounting","Business, Economics & Management"
ILR Review (Industrial and Labor Relations Review),0019-7939,2162-271X,Scimago,Management of Technology and Innovation,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
ILR Review (Industrial and Labor Relations Review),0019-7939,2162-271X,Scimago,Organizational Behavior and Human Resource Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
ILR Review (Industrial and Labor Relations Review),0019-7939,2162-271X,Scimago,Strategy and Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
ILR Review (Industrial and Labor Relations Review),0019-7939,2162-271X,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
IMA Educational Case Journal,1940-204X,,ABDC,"Accounting, auditing and accountability",C ,,,,"Business, Management and Accounting","Business, Economics & Management"
IMF Economic Review,2041-4161,2041-417X,ABDC,Applied economics,A ,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
IMF Economic Review,2041-4161,2041-417X,AJG,Economics,3,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
IMF Economic Review,2041-4161,2041-417X,Scimago,"Business, Management and Accounting (miscellaneous)",Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
IMF Economic Review,2041-4161,2041-417X,Scimago,"Economics, Econometrics and Finance (miscellaneous)",Q1,,,Q1,"Economics, Econometrics and Finance","Business, Economics & Management"
IMF Economic Review,2041-4161,2041-417X,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
IMF Economic Review,2041-4161,2041-417X,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
INFOR (INFOR: Information Systems and Operational Research),0315-5986,1916-0615,ABDC,"Strategy, management and organisational behaviour",B ,,,,"Business, Management and Accounting","Business, Economics & Management"
INFOR (INFOR: Information Systems and Operational Research),0315-5986,1916-0615,Scimago,Computer Science Applications,Q3,,,Q3,Computer Science,"Tech, Data & Quantitative Methods"
INFOR (INFOR: Information Systems and Operational Research),0315-5986,1916-0615,Scimago,Information Systems,Q3,,,Q3,Computer Science,"Tech, Data & Quantitative Methods"
INFOR (INFOR: Information Systems and Operational Research),0315-5986,1916-0615,Scimago,Management Science and Operations Research,Q3,,,Q3,Decision Sciences,"Business, Economics & Management"
INFOR (INFOR: Information Systems and Operational Research),0315-5986,1916-0615,Scimago,Signal Processing,Q3,,,Q3,Computer Science,"Tech, Data & Quantitative Methods"
INFOR (INFOR: Information Systems and Operational Research),0315-5986,1916-0615,Scopus,Decision Sciences,,Active,Journal,,Decision Sciences,"Business, Economics & Management"
INFORMS Journal on Applied Analytics,2644-0865,2644-0873,ABDC,Information systems,B ,,,,Computer Science,"Tech, Data & Quantitative Methods"
INFORMS Journal on Applied Analytics,2644-0865,2644-0873,AJG,Management Science,2,,,,Decision Sciences,"Business, Economics & Management"
INFORMS Journal on Applied Analytics,2644-0865,2644-0873,AJG,Operations Research,2,,,,Decision Sciences,"Business, Economics & Management"
INFORMS Journal on Applied Analytics,2644-0865,2644-0873,AJG,Production & Operations Management,2,,,,Decision Sciences,"Business, Economics & Management"
INFORMS Journal on Applied Analytics,2644-0865,2644-0873,Scimago,Management Science and Operations Research,Q2,,,Q2,Decision Sciences,"Business, Economics & Management"
INFORMS Journal on Applied Analytics,2644-0865,2644-0873,Scimago,Management of Technology and Innovation,Q2,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
INFORMS Journal on Applied Analytics,2644-0865,2644-0873,Scimago,Strategy and Management,Q2,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
INFORMS Journal on Computing,1091-9856,1526-5528,ABDC,"Strategy, management and organisational behaviour",A,,,,"Business, Management and Accounting","Business, Economics & Management"
INFORMS Journal on Computing,1091-9856,1526-5528,AJG,Management Science,3,,,,Decision Sciences,"Business, Economics & Management"
INFORMS Journal on Computing,1091-9856,1526-5528,AJG,Operations Research,3,,,,Decision Sciences,"Business, Economics & Management"
INFORMS Journal on Computing,1091-9856,1526-5528,AJG,Production & Operations Management,3,,,,Decision Sciences,"Business, Economics & Management"
INFORMS Journal on Computing,1091-9856,1526-5528,Scimago,Computer Science Applications,Q1,,,Q1,Computer Science,"Tech, Data & Quantitative Methods"
INFORMS Journal on Computing,1091-9856,1526-5528,Scimago,Information Systems,Q1,,,Q1,Computer Science,"Tech, Data & Quantitative Methods"
INFORMS Journal on Computing,1091-9856,1526-5528,Scimago,Management Science and Operations Research,Q1,,,Q1,Decision Sciences,"Business, Economics & Management"
INFORMS Journal on Computing,1091-9856,1526-5528,Scimago,Software,Q1,,,Q1,Computer Science,"Tech, Data & Quantitative Methods"
INFORMS Journal on Computing,1091-9856,1526-5528,Scopus,Computer Science,,Active,Journal,,Computer Science,"Tech, Data & Quantitative Methods"
INFORMS Journal on Computing,1091-9856,1526-5528,Scopus,Decision Sciences,,Active,Journal,,Decision Sciences,"Business, Economics & Management"
INFORMS Transactions on Education,,1532-0545,ABDC,"Strategy, management and organisational behaviour",C,,,,"Business, Management and Accounting","Business, Economics & Management"
INFORMS Transactions on Education,,1532-0545,Scimago,Education,Q2,,,Q2,Social Sciences,Social Sciences & Humanities
INFORMS Transactions on Education,,1532-0545,Scimago,Management Information Systems,Q2,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
INFORMS Transactions on Education,,1532-0545,Scimago,Management Science and Operations Research,Q3,,,Q2,Decision Sciences,"Business, Economics & Management"
INFORMS Transactions on Education,,1532-0545,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
INFORMS Transactions on Education,,1532-0545,Scopus,Decision Sciences,,Active,Journal,,Decision Sciences,"Business, Economics & Management"
INFORMS Transactions on Education,,1532-0545,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
IPPR Progressive Review,,2573-2331,ABDC,"Other commerce, management, tourism and services",B ,,,,"Business, Management and Accounting","Business, Economics & Management"
IPPR Progressive Review,,2573-2331,Scimago,"Economics, Econometrics and Finance (miscellaneous)",Q4,,,Q3,"Economics, Econometrics and Finance","Business, Economics & Management"
IPPR Progressive Review,,2573-2331,Scimago,Political Science and International Relations,Q3,,,Q3,Social Sciences,Social Sciences & Humanities
IPPR Progressive Review,,2573-2331,Scimago,Sociology and Political Science,Q3,,,Q3,Social Sciences,Social Sciences & Humanities
IPPR Progressive Review,,2573-2331,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
IPPR Progressive Review,,2573-2331,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
ISEAS Current Economic Affairs Series,,,ABDC,Applied economics,C ,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
ISRA International Journal of Islamic Finance,0128-1976,2289-4365,ABDC,"Banking, finance and investment",C,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
ISRA International Journal of Islamic Finance,0128-1976,2289-4365,Scopus,"Business, Management and Accounting",,Inactive,Journal,,"Business, Management and Accounting","Business, Economics & Management"
ISRA International Journal of Islamic Finance,0128-1976,2289-4365,Scopus,"Economics, Econometrics and Finance",,Inactive,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
ISRA International Journal of Islamic Finance,0128-1976,2289-4365,Scopus,Social Sciences,,Inactive,Journal,,Social Sciences,Social Sciences & Humanities
IUP Journal of Accounting Research & Audit Practices,0972-690X,,ABDC,"Accounting, auditing and accountability",C,,,,"Business, Management and Accounting","Business, Economics & Management"
IUP Journal of Corporate Governance,0972-6853,,ABDC,"Accounting, auditing and accountability",C,,,,"Business, Management and Accounting","Business, Economics & Management"
IZA Journal of Labor Economics,,2193-8997,ABDC,Applied economics,A ,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
IZA Journal of Labor Economics,,2193-8997,Scimago,Economics and Econometrics,Q3,,,Q3,"Economics, Econometrics and Finance","Business, Economics & Management"
IZA Journal of Labor Economics,,2193-8997,Scimago,Industrial Relations,Q3,,,Q3,"Business, Management and Accounting","Business, Economics & Management"
IZA Journal of Labor Economics,,2193-8997,Scimago,Organizational Behavior and Human Resource Management,Q3,,,Q3,"Business, Management and Accounting","Business, Economics & Management"
IZA Journal of Labor Economics,,2193-8997,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
IZA Journal of Labor Economics,,2193-8997,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Impact Assessment and Project Appraisal,1461-5517,1471-5465,ABDC,"Strategy, management and organisational behaviour",C ,,,,"Business, Management and Accounting","Business, Economics & Management"
Impact Assessment and Project Appraisal,1461-5517,1471-5465,Scimago,"Geography, Planning and Development",Q2,,,Q2,Social Sciences,Social Sciences & Humanities
Impact Assessment and Project Appraisal,1461-5517,1471-5465,Scimago,"Management, Monitoring, Policy and Law",Q2,,,Q2,Environmental Science,"Applied Sciences, Sustainability & Interdisciplinary"
Impact Assessment and Project Appraisal,1461-5517,1471-5465,Scopus,Environmental Science,,Active,Journal,,Engineering,"Tech, Data & Quantitative Methods"
Impact Assessment and Project Appraisal,1461-5517,1471-5465,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Indian Economic Journal,0019-4662,,ABDC,Applied economics,B,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
Indian Economic Journal,0019-4662,,Scimago,Economics and Econometrics,Q4,,,Q3,"Economics, Econometrics and Finance","Business, Economics & Management"
Indian Economic Journal,0019-4662,,Scimago,"Economics, Econometrics and Finance (miscellaneous)",Q3,,,Q3,"Economics, Econometrics and Finance","Business, Economics & Management"
Indian Economic Journal,0019-4662,,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Indian Economic Review,0019-4670,2520-1778,ABDC,Applied economics,C ,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
Indian Economic Review,0019-4670,2520-1778,Scimago,Economics and Econometrics,Q3,,,Q2,"Economics, Econometrics and Finance","Business, Economics & Management"
Indian Economic Review,0019-4670,2520-1778,Scimago,"Economics, Econometrics and Finance (miscellaneous)",Q2,,,Q2,"Economics, Econometrics and Finance","Business, Economics & Management"
Indian Economic Review,0019-4670,2520-1778,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Indian Growth and Development Review,1753-8254,1753-8262,ABDC,Applied economics,B ,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
Indian Growth and Development Review,1753-8254,1753-8262,Scimago,Business and International Management,Q3,,,Q3,"Business, Management and Accounting","Business, Economics & Management"
Indian Growth and Development Review,1753-8254,1753-8262,Scimago,Economics and Econometrics,Q3,,,Q3,"Economics, Econometrics and Finance","Business, Economics & Management"
Indian Growth and Development Review,1753-8254,1753-8262,Scimago,"Geography, Planning and Development",Q3,,,Q3,Social Sciences,Social Sciences & Humanities
Indian Growth and Development Review,1753-8254,1753-8262,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Indian Growth and Development Review,1753-8254,1753-8262,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Indian Growth and Development Review,1753-8254,1753-8262,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Indian Journal of Corporate Governance,0974-6862,,ABDC,"Accounting, auditing and accountability",C,,,,"Business, Management and Accounting","Business, Economics & Management"
Indian Journal of Corporate Governance,0974-6862,,Scimago,Business and International Management,Q3,,,Q3,"Business, Management and Accounting","Business, Economics & Management"
Indian Journal of Corporate Governance,0974-6862,,Scimago,"Business, Management and Accounting (miscellaneous)",Q3,,,Q3,"Business, Management and Accounting","Business, Economics & Management"
Indian Journal of Corporate Governance,0974-6862,,Scimago,Strategy and Management,Q3,,,Q3,"Business, Management and Accounting","Business, Economics & Management"
Indian Journal of Corporate Governance,0974-6862,,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Indian Journal of Economics,0019-5170,,ABDC,Applied economics,C ,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
Indian Journal of Gender Studies,0971-5215,0973-0672,ABDC,"Other commerce, management, tourism and services",C ,,,,"Business, Management and Accounting","Business, Economics & Management"
Indian Journal of Gender Studies,0971-5215,0973-0672,Scimago,Arts and Humanities (miscellaneous),Q2,,,Q2,Arts and Humanities,Social Sciences & Humanities
Indian Journal of Gender Studies,0971-5215,0973-0672,Scimago,Cultural Studies,Q2,,,Q2,Social Sciences,Social Sciences & Humanities
Indian Journal of Gender Studies,0971-5215,0973-0672,Scimago,Gender Studies,Q3,,,Q2,Social Sciences,Social Sciences & Humanities
Indian Journal of Gender Studies,0971-5215,0973-0672,Scimago,Health (social science),Q4,,,Q2,Social Sciences,Social Sciences & Humanities
Indian Journal of Gender Studies,0971-5215,0973-0672,Scopus,Arts and Humanities,,Active,Journal,,Arts and Humanities,Social Sciences & Humanities
Indian Journal of Gender Studies,0971-5215,0973-0672,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Indian Journal of Industrial Relations,0019-5286,0019-5286,ABDC,Human resources and industrial relations,C ,,,,"Business, Management and Accounting","Business, Economics & Management"
